	index	date	home	away	score	round_text	play_round	score_45	score_90	score_105	score_120	aet	pso	home_goals	away_goals	season	url	home_manager	away_manager	home_sheet	away_sheet
0	1	19/08/2017	VVOG Harderwijk	VV Gemert	2:0	1. pre-round	1	0:0	NA	NA	NA	False	False	2	0	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-vvog-harderwijk-vv-gemert/	Hans van Arum	Dennis Dekkers	[Frans Koornberg, Jan Jurri xebn Hop, Roelof de Groot, Zakaria Fadili, Wilko Braam, Sam Doeve, Wesley de Klein, Jeffrey Snijders, Oussama Labari, Frank Hol, Jeffrey Arends]	[Bono Barten, Ronny van den Elzen, Kees Brugmans, Bart van Berlo, Jens Leyten, Joost Habraken, Coen Brouwers, Ruben Rodrigues, Ralf Kemper, Ron Jansen, Jeremias Carlos David]
1	2	19/08/2017	Ter Leede	DHC Delft	2:0	1. pre-round	1	1:0	NA	NA	NA	False	False	2	0	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-ter-leede-dhc-delft/	Henk Wisman	Rob de Lange	[L xe szlo S xe ndor, Mike Boelee, Stefan Kraaijvanger, Sami Mouchih, Rob Zandbergen, Ronnie Verplancke, Oussama Siali, Niels van Veen, Jeffrey Bok, Ian van Otterlo, Marc de Kruijs]	[Dani xebl van der Knijff, Anthony Piqu xe, Joey Emmerink, Jeffrey van Roon, Levi Schipper, Joshua Wadie, Roy Speelman, Vincent Romeijn, Jordy Brouwer, Melvin Vissers, Wesley Verhoek]
2	3	19/08/2017	VV Buitenpost	ZSV	4:3	1. pre-round	1	0:0	NA	NA	NA	False	False	4	3	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-vv-buitenpost-zsv/	Ren\xe9 van der Wey	Bas G\xf6sgens	[Kevin van der Meulen, Wim de Vries, Danny Boersma, Berend Schootstra, Rob Dijkstra, Aaron Boekhout, Jorrit Terpstra, Joran Olijve, Martijn van Roeden, Rik Weening, Rudmer Loonstra]	[Leon Thijs, Kevin van den Broek, Niek van de Berg, Marco Manders, Rick Wiersema, Dirk Verlijsdonk, Erwin van den Broek, Koen Kuunders, Ruud van der Vrande, Maarten Kuunders, Ron Verlijsdonk]
3	4	19/08/2017	VV Capelle	RKSV Nuenen	6:0	1. pre-round	1	3:0	NA	NA	NA	False	False	6	0	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-vv-capelle-rksv-nuenen/	Winand van Loon	Miguel van den Dungen	[Bradly van de Meer, Gert Jan Rothman, Stefan Dams, Jamie Jaliens, Sandin Avdi u, Wilmer Kousemaker, Jorn van Lunteren, Bram van Eijk, Olaf van der Sande, Angelmo Vyent, Kelvin Kalika]	[Danilo Verus, Koen Bots, Max Verkuijl, Angelo Stoov xe, Tim Rerimassie, Stef Hagen, Lars van Stipdonk, Dennis van de Reek, Thom van de Donk, Jamey Raas, J xfanior]
4	5	19/08/2017	ACV Assen	USV Hercules	0:3	1. pre-round	1	0:0	NA	NA	NA	False	False	0	3	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-acv-assen-usv-hercules/	Fred de Boer	Eric Speelziek	[Bart Woering, Guus de Vries, Marcel Seip, Jelle Wagenaar, Dennis Hoekstra, Thomas Metzemaekers, Nick Westebring, Haaije Feenstra, Jonah van der Werf, Romano Djababoe, Pascal Huser]	[Fons Mulder, Kevin Ligtermoet, Matthijs Blijham, Mart Stokkers, Leroy Oehlers, Mitchel Bolck, Alfred Mensah, Christy Bonevacia, Jeffrey Vlug, Tyrone Fonfille, Fouad Belarbi]
5	6	19/08/2017	VV Dongen	VV DOVO Veenendaal	5:2	1. pre-round	1	3:1	NA	NA	NA	False	False	5	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-vv-dongen-vv-dovo-veenendaal/	Ron Timmers	Gert Kruys	[Jordy Zielschot, Floris Wouters, Paul van Zon, Luuk Hultermans, Jan Gerrits, Jaap van der Waarden, Daan Poelmans, Glenn Kools, R xe mon Koenen, Mustafa Mohammad, Tom Kolkert]	[Rodney Ubbergen, Enrico Patrick, Mitchell de Zwart, Adil Mahdadi, Bas Mooij, Aron de Koning, Nick Coster, Marley Berkvens, Roy Bakkenes, Quincy Arends, Joshua Patrick]
6	7	19/08/2017	AFC Ajax Zaterdag	VV OJC Rosmalen	3:1	1. pre-round	1	2:0	NA	NA	NA	False	False	3	1	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-afc-ajax-zaterdag-vv-ojc-rosmalen/	Jorg Smeets	David Vecht	[Stephan Veenboer, Glenn van Zoolingen, Edwin Soenarto, Lars Middelwijk, Tim de Jong, Stanley Akoy, Jack van Moerkerk, Berry van t Land, Kenneth Misa Danso, Zakaria el Biyar, Bilal el Amrani]	[Bart Tinus, Melvin van Gestel, Jelle Scholts, Vincent van Hoof, Steef Nieuwendaal, Tom Wijkmans, Jeroen Sterrenburg, Wesley Meeuwsen, Yevghenny Marceli, Ritchie van Ooijen, Diego Meerveld]
7	8	19/08/2017	Sparta Nijkerk	VPV Purmersteijn	3:0	1. pre-round	1	2:0	NA	NA	NA	False	False	3	0	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-sparta-nijkerk-vpv-purmersteijn/	Marco Roelofsen	Martin van Ophuizen	[Brian Willemse, Mohammed Al Haydar, Dennis van der Wal, Janic Makizodila, Brian Bawuah, Frank Heus, Jesse Buitenhuis, Donny van der Wal, Jorrit Fiegen, Rafael Boer, Mark Groenewoudt]	[Richard de Groot, Romeo Fecunda, Rowin Mol, Alex Treuren, Jordy de Visser, Dani xebl Schermer, Robbert Jan Ory, Ruben Adney, Yassin el Yaakoubi, Stefan van Wonderen, Aramez Poepon]
8	9	19/08/2017	ADO '20	SV Spakenburg	10:11	1. pre-round	1	0:1	1:1	1:1	NA	False	True	10	11	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-ado-20-sv-spakenburg/	Raymond Bronkhorst	John de Wolf	[, Michel van Kampen, Mouad Ben Chekh, Marvin Boom, Gert Jan van Leiden, Donny Rijnink, Ted Amson, Bas Vellema, Meraj Allahdad, Raymond de Waard, Jesper de Vr xe]	[Michel van Kampen, Mouad Ben Chekh, Marvin Boom, Gert Jan van Leiden, Donny Rijnink, Ted Amson, Bas Vellema, Meraj Allahdad, Raymond de Waard, Jesper de Vr xe, Richie Owusu Ansah]
9	10	19/08/2017	Chevremont	AVV Swift	1:3	1. pre-round	1	1:1	NA	NA	NA	False	False	1	3	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-chevremont-avv-swift/	Jan van Dijk	Bart Logchies	[Mark Voss, Mickey Knarren, Dani xebl Meijer, Sven Meijers, Kevin Senden, Marvin de Mey, Lars Wolters, Brian Jacobs, Rodney Klinkenberg, Tim Bl xe ttler, Raymond Frijns]	[Bogdan Constantin, Mike Ruijter, Mathieu Christianen, Nik Gabel, Jouke Spanninga, Rutger de Vries, Max van Wakeren, Shaquille Doorson, Jaap Smeeing, Tim Wulffraat, Ron Rosenhart]
10	11	19/08/2017	RKSV Groene Ster	SVV Scheveningen	1:2	1. pre-round	1	1:0	NA	NA	NA	False	False	1	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-rksv-groene-ster-svv-scheveningen/	Maurice Verbunt	John Blok	[Willem Jan Thijssen, Kevin Werker, Mick Hellemons, Danny Stassar, Dylan Zwartjes, Roy Janssen, Maikel van Kesteren, Wessel Franssen, Roel Schirra, Boyd Joosten, Eloy Cox]	[Jesper Leerdam, Samir el Moussaoui, Ruben Koorndijk, Jari de Jong, Mitchell de Vlugt, Leroy Resodihardjo, Esin Gula, Barry Rog, Mehmet Aldo u fan, Marvin Nieuwlaat, Robert Steemers]
11	12	19/08/2017	BVV/Caterpillar	VV Staphorst	1:5	1. pre-round	1	0:3	NA	NA	NA	False	False	1	5	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-bvv-caterpillar-vv-staphorst/	Hans Lathouwers	Jan Vlap	[Fahd Bouchti, Ridvan xc elebi, Theo Beekmans, Stephan Netten, Ritchie Mangandu, Ilias Sadqi, Younes Hadouir, Murat Dogan, Jimmy Meerbach, Imad Hamria, Johan Eerhart]	[Ren xe Oosterhof, Frank van der Burg, Ewald Koster, Reinier Crediet, Rob Mijnheer, Mark Veldmate, Dennis Rosink, Martijn Brakke, William de Boer, Heine Uuldriks, Mike Reuvers]
12	13	19/08/2017	JVC Cuijk	SDC Putten	0:1	1. pre-round	1	0:0	0:0	0:1	NA	True	False	0	1	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-jvc-cuijk-sdc-putten/	Ruud Kaiser	Michael van den Berg	[Yorrit Kanters, Sjoerd van der Looy, Jurre Grotenhuis, Alex Leji u, Timo Peters, Simon van Zeelst, Stan Broenland, Bjenze Graat, Boy Visser, Rik Renirie, Jordie van der Laan]	[Manuel Hoogewoning, Thomas Amende, Rick van den Brink, Martijn Duits, Sander Duits, Kees Pluim, Jerry Geurtsen, Wouter de Bruin, Abdelmoumin Cherkaoui, Jurian van den Brink, Rick Degenaar]
13	14	19/08/2017	EVV	Olde Veste '54	4:1	1. pre-round	1	0:1	NA	NA	NA	False	False	4	1	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-1-vorrunde-evv-olde-veste-54/	Kevin Van Dessel	Jan Derk Brandsma	[Michel Vercruysse, Tom Hanssen, Rick Geenen, Reno Kochanowski, Juli xebn Clout, Aaron Gielen, Jasko D u eurli u, Joey Dekkers, Faissal Argoubi, Rick Polman, Shaquille Simmons]	[Stein de Wit, Julian Zwoferink, Jordy Blijham, Erwin van Luik, Daan Flobbe, Sjorick Bootsma, Patrick de Vente, Tarik Bourakba, Justin Torn, Marco Woudsma, Rochendy Constansia]
14	16	19/08/2017	DVS'33	Quick Boys	1:2	2. pre-round	2	0:2	NA	NA	NA	False	False	1	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-dvs33-quick-boys/	Bert van Hunenstijn	Jan Zoutman	[Paul Eppink, Haico Epe, Dennis Hollart, Jorran van Santen, Basil Camara, Roald de Vries, Coen Vloedgraven, Maurice de Ruiter, Mike Ahrens, G xf khan Ya u far, Dani xebl van Warven]	[Martijn de Zwart, Tim Bloemendaal, Anthony Bentem, Dennis van der Plas, Joey Ravensbergen, Mohamad Mahmoed, Ricardo Kuyvenhoven, Delano xe Cohen, Reda Kharchouch, Max van Steen, Jesse van Nieuwkerk]
15	17	19/08/2017	ASWH Ido-Ambacht	HSV Hoek	1:3	2. pre-round	2	0:2	NA	NA	NA	False	False	1	3	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-aswh-ido-ambacht-hsv-hoek/	Jack van den Berg	Jannes Tant	[Marvin Nootenboom, Jerry Tieleman, Stanley Husen, Gilmaro van de Werp, David Almeida, Mels van Driel, Jesper van den Bosch, Juanito Sequeira, Nick Slotboom, Akin Arslan, Peter de Lange]	[Jordi De Jonghe, Thomas Van Renterghem, Kim Van Den Bergh, Reguillo Vandepitte, Fabian Wilson, Zinho Chergui, Stef De Backer, Rik Impens, Aaron Verwilligen, Bram Leroy, Niek van Sprundel]
16	18	19/08/2017	Achilles'29	OFC Oostzaan	3:2	2. pre-round	2	1:1	NA	NA	NA	False	False	3	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-achilles29-ofc-oostzaan/	Eric Meijers	Yuri Rose	[Timo Plattel, Derwin Martina, Marijn de Kler, Yannick Zeeman, K xfcr u fad S xfcrmeli, Boy van de Beek, Christoff Dias de Oliveira, Omid Popalzay, Guyon Philips, Niels Wouters, Niek Versteegen]	[Atam K xf ro u flu, Henry Opoku, Mike Brantjes, Nick Kramer, Donny Verdam, Romano de Jonge, Tom Noordhoff, Adnan Barakat, Lars Weistra, Edip Bibero u flu, Martijn Tjon a Njoek]
17	19	19/08/2017	TEC VV	Rijnsburgse Boys	1:3	2. pre-round	2	1:1	1:1	1:3	NA	True	False	1	3	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-tec-vv-rijnsburgse-boys/	Frits van den Berk	Pieter Mulders	[Sebastiaan van der Sman, Migiel Zeller, Daan Disveld, Obi Onyeike, Randel Shakison, Bart Westerlaken, Matthijs van Gessel, Wimilio Vink, Serhat Ko xe, Gianluca Maria, Robby Holder]	[Richard van Nieuwkoop, Roderick Gielisse, Masies Artien, Hidde Prijs, Jordy Strooker, Carlos Opoku, Wesley Goeman, Jo xebl Tillema, Giovialli Serbony, Jeffrey Jongeneelen, Donny van Oijen]
18	20	20/08/2017	Koninklijke HFC	RKVV Westlandia	4:0	2. pre-round	2	2:0	NA	NA	NA	False	False	4	0	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-koninklijke-hfc-rkvv-westlandia/	Ted Verdonkschot	Edwin Gr\xfcnholz	[Gerard van Rossum, Danny Hols, Andr xe Morgan, Wessel Boer, Kevin de Visser, Michael Timisela, Daniel van Son, Steven Olsthoorn, Kevin Sterling, Koen Beeren, Gertjan Tamerus]	[Jari Duijvestijn, Ramon Ripson, Mitchel Jacobs, Nick van Vliet, Marko van der Knaap, Patrick Batist, Adnan Baji u, Jessie van der Burg, Jeroen Spruijt, Anwar Beeldstroo, R xe mon van Bochoven]
19	21	20/08/2017	Amsterdamsche FC	ASV De Dijk	0:2	2. pre-round	2	0:0	NA	NA	NA	False	False	0	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-amsterdamsche-fc-asv-de-dijk/	Ton du Chatinier	Jochem Twisker	[Joey Potveer, Sam Nijpels, Derre Kwee, Magid Jansen, Thomas van den Houten, Jonathan Richard, Tom van den Brink, Milan Hoek, Ilias Zaimi, Eelke de Graaf, Melvin Grootfaam]	[Jeroen Verhoeven, Frank Schilder, Robert Verschraagen, Alje Wiltenburg, Kevin Westmaas, Raymond Baten, Abderrahim Loukili, Harry Zwarthoed, Achmed Ahahaoui, Jack Tuyp, Nabil el Gourari]
20	22	22/08/2017	SVV Scheveningen	VV Spijkenisse	3:2	2. pre-round	2	0:0	0:0	0:0	NA	False	True	3	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-svv-scheveningen-vv-spijkenisse/	John Blok	Peter Wubben	[Sven Wolsheimer, Samir el Moussaoui, Ruben Koorndijk, Jari de Jong, Gio van Ree, Levi Schwiebbe, Leroy Resodihardjo, Peter Jungschl xe ger, Mehmet Aldo u fan, Marvin Nieuwlaat, Robert Steemers]	[Dyron Bijl, Eti xebn Mariana, Eric Polet, Glenn Rijsdijk, Stefano Goncalves, Sander Barragan, Felino Jardim, Danny Groos, Marvin van der Pluijm, Michael van Dommelen, Serginho van Axel Dongen]
21	23	22/08/2017	HSC'21	VV Zwaluwen	0:1	2. pre-round	2	0:1	NA	NA	NA	False	False	0	1	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-hsc21-vv-zwaluwen/	Dani\xebl Nijhof	Oscar Biesheuvel	[Wouter Lankheet, Dion Hartgerink, xc a u flar U u fuz, Mark Engberink, Kelvin Veensma, Jordi van Ek, Bas ter Hogt, Joost Screever, Kevin Spanjaard, Stef Ottink, Bas Postma]	[Marvin van Tienen, Leon Krznari u, Wesley de Heij, Tim Gudde, Dennis van Rijn, Erwin de Groot, Robin Hofman, Jesper Gudde, Justin van Mullem, Ricardo Merrelaar, Sten Wever]
22	24	22/08/2017	Harkemase Boys	Sparta Nijkerk	2:3	2. pre-round	2	0:0	0:0	0:0	NA	False	True	2	3	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-harkemase-boys-sparta-nijkerk/	Henk Herder	Marco Roelofsen	[, Erick Jansema, Jim de Leeuw, Bart de Groot, Jesse Renken, Jens Jurn Streutker, Kevin Mennega, Johnny de Vries, Henny Bouius, Dennis van Duinen, Yannick Kaluzi]	[Erick Jansema, Jim de Leeuw, Bart de Groot, Jesse Renken, Jens Jurn Streutker, Kevin Mennega, Johnny de Vries, Henny Bouius, Dennis van Duinen, Yannick Kaluzi, Berwout Beimers]
23	25	22/08/2017	BVV Barendrecht	VVOG Harderwijk	1:0	2. pre-round	2	1:0	NA	NA	NA	False	False	1	0	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-bvv-barendrecht-vvog-harderwijk/	Adrie Poldervaart	Hans van Arum	[Marc van Splunter, Tim Eekman, Max van Dijk, Lionel Fitsch, Jeffrey Aarts, Danny Monster, Joey Jongman, Richard Stolte, Ramy Salem, Ali Khaldi, Dani xebl Esajas]	[Frans Koornberg, Tim Muller, Jan Jurri xebn Hop, Roelof de Groot, Wilko Braam, Wesley de Klein, Jeffrey Snijders, Tijmen van Straten, Pernelly Biya, Frank Hol, Jeffrey Arends]
24	26	22/08/2017	Blauw Geel '38	SV Spakenburg	3:2	2. pre-round	2	2:1	NA	NA	NA	False	False	3	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-blauw-geel-38-sv-spakenburg/	Niels van Casteren	John de Wolf	[Brahim Zaari, Edwin Huibers, Martijn van Loon, Mark Westerlaken, Desley Schilders, Mark Dobbelsteen, Sander van Egmond, Serkan Ordu, Joey Hellstern, Alexander Mols, Sjaak Egmond]	[Daan Huiskamp, Barry Beijer, Tom van der Neut, Guido van Rijn, Sten Vreekamp, Philip Ties, Mike Vreekamp, Jasper Waalkens, Kees Tol, Olivier Pilon, Bert Steltenpool]
25	27	23/08/2017	sv DFS	ONS Sneek	1:2	2. pre-round	2	0:2	NA	NA	NA	False	False	1	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-sv-dfs-ons-sneek/	Scott Calderwood	Chris de Wagt	[Noah Tomatala, Corn xe Davelaar, Tim Sanders, Rick van Walsem, Melvin van Osenbruggen, Marc Harlaux, Luci xebn Dors, Arjan Goorman, Lorenzo Davids, Rutger Worm, Thijs Hendriks]	[Volken Huisman, Klaas de Vries, Rein Werumeus Buning, Serge Fatima, Tim Oosterbaan, Frits Dantuma, Michael Lanting, Tom Arissen, Fabian Stevens, Arton Musliu, Jan Dommerholt]
26	28	23/08/2017	VV Capelle	VV Altius	6:1	2. pre-round	2	1:0	NA	NA	NA	False	False	6	1	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-vv-capelle-vv-altius/	Winand van Loon	Herman Wallenburg	[Ferry Hagendijk, Gert Jan Rothman, Stefan Dams, Jamie Jaliens, Sandin Avdi u, Wilmer Kousemaker, Jorn van Lunteren, Bram van Eijk, Olaf van der Sande, Angelmo Vyent, Kelvin Kalika]	[Roy van Wagtendonk, Roy van de Brink, Beau Schaepman, Mark Koomen, Jan Kloet, Arno Calis, Wouter Koetsier, Bilal el Morabet, Glenn Hemmers, Ruben Bakker, Jordy Arp]
27	29	23/08/2017	AVV Swift	HBS-Craeyenhout	3:0	2. pre-round	2	1:0	NA	NA	NA	False	False	3	0	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-avv-swift-hbs-craeyenhout/	Bart Logchies	Marcel Koning	[Bogdan Constantin, Teun van Zweeden, Mike Ruijter, Mathieu Christianen, Nik Gabel, Rutger de Vries, Max van Wakeren, Mallqui Cabezas, Syrano Morrison, Jordy de Groot, Tim Wulffraat]	[Paul van der Helm, Jim Roberti, Bart Koffeman, Steve van Kesteren, Bram Ros, Kevin Schutte, Tony Bergsma, Willem Six, Mike de Geer, Santy Hulst, Nelson Vieira]
28	30	23/08/2017	USV Hercules	VV Dongen	4:2	2. pre-round	2	1:0	2:2	4:2	NA	True	False	4	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-usv-hercules-vv-dongen/	Eric Speelziek	Ron Timmers	[Fons Mulder, Kevin Ligtermoet, Matthijs Blijham, Mart Stokkers, Leroy Oehlers, Mitchel Bolck, Floris Burgers, Jeffrey Vlug, Guytho Mijland, Oskar van Logtestijn, Amine el Bouzidi]	[Jordy Zielschot, Floris Wouters, Luuk Hultermans, Jan Gerrits, Jaap van der Waarden, Glenn Kools, Gijs van den Berg, R xe mon Koenen, Anwar Tuithof, Mustafa Mohammad, Tom Kolkert]
29	31	23/08/2017	VV Sint Bavo	EVV	4:3	2. pre-round	2	1:2	3:3	4:3	NA	True	False	4	3	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-vv-sint-bavo-evv/	Mark Schenning	Kevin Van Dessel	[Ruben Valk, Peet van der Slot, Jordy Zwart, Jelmer Vijlbrief, Richelo Fecunda, Vladimir Jozi u, Frans van Niel, Tim de Rijk, Lloyd van der Wilden, Pieter Koopman, Tommy Bekooy]	[Michel Vercruysse, Tom Hanssen, Rick Geenen, Demen Roumen, Juli xebn Clout, Aaron Gielen, Jasko D u eurli u, Joey Dekkers, Faissal Argoubi, Rick Polman, Shaquille Simmons]
30	32	23/08/2017	FC Lienden	HHC Hardenberg	0:1	2. pre-round	2	0:0	NA	NA	NA	False	False	0	1	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-fc-lienden-hhc-hardenberg/	Hans Kraay jr.	Gert-Jan Karsten	[Jan Schimmel, Jermo Wilsterman, Leon Broekhof, Kenny Elders, Emilio Samsey, Jop van Steen, Nathan Bijl, Milad Intezar, Mo Bendadi, Jawad Bellahsan, Danny van den Meiracker]	[Sander Danes, Koos Werkman, Hamid Zarbaf, Ashwin Manuhutu, Danny Bouws, Glenn Kobussen, Rick Hemmink, Shkodran Metaj, Sargon Gouriye, Rens van Benthem, D xe rian Reinders]
31	33	23/08/2017	VV UNA/Brinvast	VV Staphorst	1:2	2. pre-round	2	0:0	0:0	1:2	NA	True	False	1	2	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-vv-una-brinvast-vv-staphorst/	Jeroen van Bezouwen	Jan Vlap	[Petar Sto u kovi u, Sander van Weert, Yoeri Sijbers, Pieter Jan Scheerlinck, Jeroen Stottelaar, Niek van Boekel, Rob van Boekel, Tomas Overhof, Brian Boogers, Nick Tielemans, Mart van de Gevel]	[Ren xe Oosterhof, Frank van der Burg, Ewald Koster, Rob Mijnheer, Lars Heuvelman, Mark Veldmate, Dennis Rosink, Martijn Brakke, William de Boer, Heine Uuldriks, Mike Reuvers]
32	34	23/08/2017	Quick Den Haag	Ter Leede	2:3	2. pre-round	2	0:1	NA	NA	NA	False	False	2	3	-2017-2018/	http://www.worldfootball.net/report/knvb-beker-2017-2018-2-vorrunde-quick-den-haag-ter-leede/	Paul van der Zwaan	Henk Wisman	[Jari Puister, Kai van Hese, Virgil Tjin Asjoe, Philip Kouwenhoven, Joost de Gelder, Sijbren Bartlema, Steven de Kruijf, Rachid Bouyaouzan, Can Memi u fo u flu, Nabil Hadui, Marc Boshoff]	[L xe szlo S xe ndor, Mike Boelee, Stefan Kraaijvanger, Sami Mouchih, Rob Zandbergen, Ronnie Verplancke, Oussama Siali, Toon Zwetsloot, Jeffrey Bok, Ian van Otterlo, Marc de Kruijs]
